Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
10.0,91156.387837,71.987764,27.987164,24.898761,662.091849,968.533164,1252.736763,246.29802260000002,529.910314,749.485296,3264.0,9900.0,3454.819233,45797.97994,45646.408049,151.255103,2976.499065,29159.827208,3661.056801,708.34948,1636.009358,225.23217,259.061166,211.790698
11.0,91024.494462,71.928112,28.003514,24.89017,662.059757,968.194942,1252.664907,246.3273248,529.938756,749.509709,3264.0,9900.0,3430.615063,45625.399354,45501.292347,150.395423,2984.793954,29138.396612,3623.804368,707.124322,1635.586334,225.724513,257.358473,211.881651
12.0,90972.711031,71.896887,28.003129,24.899382,662.083975,968.157684,1252.556971,246.36319340000003,529.96684,749.518875,3264.0,9900.0,3422.579109,45624.842414,45522.181386,150.113331,2988.775327,29110.538139,3556.602221,706.65435,1636.400507,226.559874,256.785763,211.909125
13.0,90960.632797,71.919407,27.987417,24.907485,662.078108,968.19825,1252.413811,246.41076560000002,529.993867,749.514133,3264.0,9900.0,3418.911438,45679.384003,45609.842924,149.997672,2997.901533,29083.616125,3691.266611,704.559595,1636.887208,227.677042,256.523034,211.9227
14.0,91082.618208,71.840443,28.002719,24.886753,662.104473,968.064853,1252.262796,246.44187500000007,530.019087,749.49507,3264.0,9900.0,3412.392794,45620.539418,45537.409685,149.75656,3004.385895,29059.431084,3571.990117,705.649021,1636.63422,229.040609,256.055126,211.93593
15.0,91204.365913,71.851297,28.010722,24.890663,662.09453,968.042114,1252.09291,246.46971740000006,530.041934,749.465156,3264.0,9900.0,3411.985242,45643.753696,45590.318679,149.730405,3010.834905,29035.832049,3544.492903,702.649265,1637.951229,230.616146,256.025404,211.941151
16.0,91368.499491,71.882951,28.007072,24.89125,662.072571,968.092437,1251.912334,246.4913444,530.061017,749.424849,3264.0,9900.0,3415.448743,45706.944606,45666.98749,149.85205,3021.996025,29011.802408,3562.35081,703.013293,1637.991194,232.34715,256.273857,211.927214
17.0,91591.327941,71.897621,27.983887,24.896916,662.092394,968.369094,1251.734414,246.49059020000007,530.075563,749.374085,3264.0,9900.0,3431.496472,45892.297054,45854.449415,150.431131,3022.878759,28989.418309,3552.999155,704.517109,1638.091128,234.125852,257.418007,211.910986
18.0,91775.136003,71.922566,27.997549,24.90143,662.109189,968.28801,1251.555708,246.50762360000002,530.084688,749.318552,3264.0,9900.0,3433.527887,45878.960579,45862.953683,150.485396,3026.398596,28968.915106,3668.258494,702.50541,1638.341803,235.961775,257.561639,211.893202
19.0,92039.267094,71.862832,27.983954,24.886199,662.103572,968.455153,1251.385327,246.5196746000001,530.087134,749.256632,3264.0,9900.0,3445.688808,45999.569839,45971.070525,150.922006,3026.316469,28951.566081,3738.25896,704.980334,1638.845812,237.769048,258.418225,211.886511
20.0,92376.954732,71.7544,27.967567,24.859356,662.106224,968.633764,1251.238229,246.53735240000006,530.082899,749.19169,3264.0,9900.0,3461.518591,46119.497907,46068.002435,151.491188,3025.128854,28938.558293,3556.231039,704.390485,1639.658655,239.461358,259.521424,211.898387
21.0,92348.777118,71.786012,28.050564,24.913815,662.098757,967.974453,1251.065121,246.5569922,530.07186,749.127357,3264.0,9900.0,3441.015897,45800.365054,45855.841223,150.685108,3034.417761,28931.672316,3661.908414,705.066888,1639.511458,241.296712,258.089471,211.942117
22.0,92786.132948,71.735061,27.958181,24.867551,662.084743,968.888273,1250.928055,246.54272360000002,530.050894,749.049514,3264.0,9900.0,3482.515148,46316.443739,46256.826428,152.227864,3037.431878,28906.798497,3539.701819,704.025468,1639.537333,242.923138,260.963222,211.865712
23.0,92971.18328,71.775093,27.980352,24.875924,662.102926,968.635386,1250.796606,246.52939460000002,530.02258,748.979283,3264.0,9900.0,3481.640036,46206.588845,46205.796193,152.172319,3036.307616,28901.420934,3599.876907,707.139035,1640.774281,244.449949,260.903389,211.903322
24.0,93144.152519,71.773511,28.00323,24.879237,662.0946,968.537544,1250.673358,246.52572800000004,529.985509,748.907847,3264.0,9900.0,3484.470165,46171.907295,46172.300131,152.24665,3033.497938,28890.290725,3660.370177,708.846519,1640.244343,245.913697,261.095971,211.898621
25.0,93320.848995,71.731365,27.989132,24.879611,662.114876,968.697284,1250.554894,246.52932260000009,529.93894,748.833355,3264.0,9900.0,3495.885614,46283.359141,46289.564443,152.656471,3038.268543,28879.750376,3540.240007,708.554298,1641.239406,247.26924,261.868302,211.892917
26.0,93582.818914,71.776835,27.981662,24.857206,662.106862,968.806704,1250.459458,246.51103100000003,529.883207,748.760797,3264.0,9900.0,3507.123124,46354.259767,46329.709292,153.05741,3040.532574,28872.215608,3629.922936,713.052566,1641.375027,248.46941,262.621691,211.902401
27.0,93684.790343,71.756008,27.971968,24.893829,662.065209,968.894166,1250.362206,246.48900620000006,529.819179,748.691555,3264.0,9900.0,3517.807077,46437.636221,46458.561898,153.434076,3037.022155,28866.970353,3601.54001,713.697964,1641.285057,249.548286,263.330823,211.920848
28.0,93839.46997,71.760165,28.016256,24.861116,662.078299,968.575912,1250.27947,246.48054800000003,529.746033,748.622947,3264.0,9900.0,3509.577868,46260.068606,46258.725762,153.105836,3036.640243,28856.452794,3597.621437,716.425904,1642.253863,250.571005,262.78518,211.901729
29.0,93979.242307,71.769339,27.986388,24.889101,662.072643,968.889148,1250.200314,246.46769960000003,529.664665,748.556353,3264.0,9900.0,3527.16178,46458.023101,46465.533979,153.745115,3036.443362,28852.364559,3613.638856,719.03876,1642.016021,251.482858,263.946665,211.92055
30.0,94104.808016,71.76823,28.005952,24.88351,662.095429,968.773748,1250.134418,246.4513844,529.57522,748.490263,3264.0,9900.0,3527.951672,46397.84777,46400.70311,153.753094,3030.567639,28844.571411,3566.631276,721.280814,1642.336954,252.321133,263.998522,211.912991
31.0,94252.280788,71.807673,28.002853,24.881726,662.089923,968.816486,1250.0802,246.45011360000004,529.4783,748.426579,3264.0,9900.0,3534.555769,46429.22186,46422.210297,153.987063,3035.1698,28838.794988,3620.738259,724.155043,1642.837188,253.077996,264.430008,211.915154
32.0,94313.974905,71.805226,27.991048,24.904114,662.090866,968.90401,1250.023116,246.4234592,529.374616,748.364817,3264.0,9900.0,3541.838955,46496.563144,46515.923621,154.249577,3039.009884,28835.648553,3630.237399,727.8834,1642.60498,253.761017,264.902563,211.932891
33.0,94274.53286,71.794168,28.02987,24.939621,662.071579,968.667248,1249.962788,246.38709740000004,529.264446,748.303376,3264.0,9900.0,3535.925016,46378.312263,46422.183058,154.000868,3035.758895,28827.002752,3670.399169,731.069148,1643.049785,254.482127,264.518768,211.911944
34.0,94496.821551,71.756429,28.001178,24.903734,662.096492,969.013882,1249.923692,246.36702020000007,529.147401,748.23773,3264.0,9900.0,3551.590139,46565.106432,46542.045662,154.57869,3026.581074,28813.256631,3491.496209,735.114592,1643.207038,255.087128,265.530796,211.854915
