Time,Ambient_Temp,Feed_Quality,Feed_Temp,Condenser_Efficiency,Cyclone_Damage,Catalyst_Deactivation,Preheater_Increase,Preheater_Shutdown,Dist_V2,Dist_V3,Dist_V4,Dist_V6,Dist_V7,Dist_V8
22.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
23.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
24.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
25.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
26.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
27.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
28.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
29.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
30.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
31.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
32.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
33.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
34.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
35.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
36.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
37.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
38.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
39.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
40.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
41.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
42.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
43.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
44.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
45.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
46.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
47.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
48.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
49.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
50.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
51.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
52.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
53.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
54.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
55.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
56.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
57.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
58.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
59.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
